scenario,replicate,year,C_f,S_b-i,P_adp,C_adp,V_LUC,R2,R1,S_LUC,div,div_loss
45,2,2073,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,149.9603941,-23.07890602
45,2,2074,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,149.4341343,-23.34884716
45,2,2075,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,148.888704,-23.62862167
45,2,2076,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,148.1734008,-23.99553124
45,2,2077,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,147.6657126,-24.25594622
45,2,2078,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,147.0709579,-24.56102132
45,2,2079,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,146.4722758,-24.86811095
45,2,2080,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,146.0823404,-25.06812548
45,2,2081,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,145.6329628,-25.29863045
45,2,2082,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,145.0454636,-25.59998389
45,2,2083,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,144.5520868,-25.85305794
